question_tag,n_b,n_p,n_bi,n_pi,n_q
b,9,0,23,0,3
plain,9,1,22,0,8
b,6,0,28,0,4
b,8,0,31,0,7
b,6,0,7,0,2
nothing,0,0,0,0,0
b,16,0,23,0,9
b,7,0,30,0,7
b,8,0,22,0,6
b,6,0,47,0,5
b,5,0,27,0,5
b,14,0,77,0,5
b,11,0,18,0,8
b,1,0,0,0,1
b,18,0,48,0,11
b,6,0,18,0,6
plain,1,23,0,3,3
plain,0,14,0,5,4
b,3,0,14,0,3
b,4,0,6,0,4
b,2,0,15,0,2
b,16,0,15,0,10
b,5,0,31,0,3
b,13,0,5,0,13
b,21,0,34,0,5
b,8,0,30,0,8
b,8,0,24,0,4
b,4,0,4,0,3
b,3,0,18,0,3
b,9,0,22,0,7
b,5,0,12,0,5
b,6,0,6,0,4
b,12,0,18,0,8
b,5,0,22,0,4
b,22,0,29,0,2
b,3,0,27,0,3
b,8,0,29,0,6
b,4,0,9,0,3
b,10,0,41,0,7
b,5,0,7,0,3
b,4,0,35,0,3
b,5,0,9,0,5
b,3,0,3,0,1
b,9,0,18,0,5
b,4,0,6,0,3
b,7,0,28,0,3
b,9,0,22,0,6
b,3,0,13,0,3
b,1,0,3,0,1
b,7,0,8,0,2
b,10,0,7,0,1
b,6,0,12,0,6
b,6,0,19,0,4
b,5,0,18,0,4
b,8,0,12,0,7
b,14,0,7,0,3
b,6,0,36,0,6
b,10,0,10,0,4
b,33,0,30,0,15
b,15,0,13,0,7
b,6,0,20,0,6
b,7,0,20,0,7
b,6,0,30,0,5
b,3,0,14,0,2
b,8,0,22,0,5
b,12,0,21,0,3
b,5,0,26,0,4
b,24,0,20,0,22
b,13,0,4,0,4
b,10,0,24,0,5
plain,4,3,18,0,6
plain,6,0,33,1,5
b,2,0,16,0,2
b,33,0,0,0,17
b,7,0,9,0,5
b,6,0,14,0,3
plain,4,1,28,0,3
plain,18,1,24,0,4
b,9,0,38,0,8
b,15,0,27,0,7
b,5,0,14,0,4
b,12,0,19,0,9
b,2,0,0,0,2
b,4,0,8,0,4
b,12,0,10,0,8
b,6,0,38,0,4
b,4,0,14,0,4
b,4,0,9,0,3
plain,0,14,0,5,1
b,9,0,5,0,3
b,25,0,0,0,9
b,8,0,6,0,4
b,6,0,8,0,2
plain,0,12,0,0,7
plain,1,8,0,20,4
b,11,0,24,0,4
b,14,0,16,0,5
b,5,0,10,0,3
b,8,0,20,0,4
nothing,0,0,0,0,0
b,5,0,12,0,5
b,13,0,24,0,6
b,9,0,46,0,4
b,9,0,16,0,7
b,11,0,14,0,6
b,7,0,14,0,5
b,6,0,5,0,4
b,13,0,15,0,11
b,12,0,62,0,8
b,3,0,16,0,3
b,14,0,19,0,6
b,9,0,9,0,3
b,9,0,5,0,7
b,6,0,21,0,6
b,5,0,42,0,5
plain,0,9,0,43,4
b,11,0,12,0,5
b,3,0,6,0,2
b,12,0,12,0,6
b,14,0,9,0,9
b,3,0,6,0,3
b,11,0,25,0,6
b,4,0,29,0,4
b,15,0,36,0,12
b,3,0,16,0,3
b,24,0,37,0,8
b,6,0,18,0,4
b,13,0,27,0,7
b,4,0,21,0,4
b,7,0,29,0,4
b,9,0,19,0,5
b,5,0,28,0,2
b,7,0,18,0,6
b,8,0,44,0,7
b,15,0,30,0,11
plain,0,11,0,15,5
b,11,0,33,0,6
b,4,0,16,0,4
b,8,0,21,0,8
b,15,0,35,0,10
plain,5,1,16,0,5
plain,0,20,0,26,7
b,9,0,31,0,7
b,7,0,17,0,2
b,18,0,88,0,14
b,3,0,5,0,3
b,9,0,12,0,9
b,4,0,18,0,3
b,8,0,13,0,3
b,31,0,22,0,7
plain,0,4,0,34,4
b,2,0,6,0,2
b,7,0,20,0,3
b,5,0,9,0,5
b,17,0,39,0,6
b,4,0,31,0,3
b,24,0,33,0,15
b,6,0,22,0,5
b,4,0,24,0,4
b,9,0,40,0,5
plain,1,12,0,24,6
plain,1,13,2,43,4
b,3,0,16,0,3
plain,5,0,27,1,4
b,14,0,27,0,11
b,19,0,16,0,16
b,7,0,23,0,6
b,6,0,27,0,2
b,8,0,16,0,7
b,4,0,19,0,4
b,16,0,16,0,6
b,5,0,29,0,5
b,23,0,17,0,11
b,3,0,16,0,3
b,18,0,17,0,14
b,13,0,22,0,2
b,5,0,20,0,5
b,4,0,18,0,4
plain,0,8,0,16,2
b,8,0,11,0,5
b,20,0,14,0,2
b,5,0,12,0,5
b,25,0,35,0,8
b,14,0,23,0,3
b,10,0,19,0,6
b,4,0,21,0,4
b,8,0,37,0,3
b,6,0,32,0,5
b,9,0,51,0,4
b,6,0,17,0,5
b,5,0,10,0,2
b,4,0,40,0,3
b,7,0,28,0,6
b,7,0,27,0,5
b,10,0,15,0,3
plain,0,3,0,10,2
plain,0,10,0,0,10
b,6,0,5,0,4
b,13,0,24,0,7
b,10,0,12,0,4
b,10,0,16,0,6
b,6,0,14,0,5
b,8,0,38,0,6
b,9,0,44,0,6
b,6,0,16,0,4
b,2,0,5,0,2
plain,3,1,9,0,4
b,1,0,6,0,1
b,3,0,11,0,3
plain,12,1,11,7,4
b,5,0,11,0,3
b,5,0,26,0,5
plain,0,5,0,25,1
b,5,0,15,0,4
b,9,0,22,0,5
b,5,0,21,0,4
b,4,0,8,0,4
b,22,0,21,0,9
b,6,0,13,0,6
b,6,0,44,0,4
b,6,0,60,0,5
b,7,0,28,0,4
plain,5,0,7,2,5
b,3,0,28,0,3
b,11,0,18,0,4
b,11,0,26,0,11
b,10,0,18,0,6
b,6,0,25,0,6
b,10,0,10,0,7
plain,1,3,0,9,3
b,13,0,10,0,3
b,11,0,51,0,7
b,9,0,14,0,7
b,18,0,17,0,15
b,3,0,15,0,3
b,1,0,1,0,1
b,4,0,23,0,4
b,15,0,54,0,4
b,4,0,32,0,3
plain,0,25,0,19,5
b,14,0,25,0,10
b,39,0,0,0,18
b,3,0,11,0,3
b,11,0,30,0,10
b,5,0,5,0,5
plain,0,7,0,30,2
b,7,0,40,0,7
b,8,0,11,0,5
plain,0,5,0,9,3
b,9,0,15,0,6
b,9,0,0,0,2
b,5,0,78,0,5
b,9,0,28,0,4
b,2,0,15,0,1
b,19,0,50,0,15
b,6,0,8,0,5
b,2,0,21,0,2
b,15,0,15,0,9
b,3,0,7,0,3
b,8,0,17,0,8
b,3,0,10,0,3
b,13,0,12,0,5
b,8,0,16,0,3
b,6,0,9,0,4
b,4,0,24,0,4
b,24,0,11,0,3
b,4,0,11,0,4
b,3,0,6,0,3
b,6,0,14,0,5
b,4,0,28,0,3
